gene,snp
AF240627.2,.
MIR548X,.
AP001537.1,.
PPIAP22,.
AL157359.4,.
AL157359.3,.
AP000431.1,.
AP000431.2,.
SLC6A6P1,.
AP000855.4,.
RNU1-139P,.
RPL37P4,.
AP000403.3,.
AP000568.2,.
C1QBPP,.
AP000946.2,.
AP001171.1,.
RNU6-772P,.
RN7SKP147,.
FDPSP6,.
KRT18P2,.
RPS3AP1,.
LINC00320,.
PPIAP1,.
AP001136.2,.
AP001137.1,.
AF241725.4,.
AF241725.1,.
AF241725.6,.
LINC00317,.
AP000475.2,.
AP000472.3,.
AP000472.2,.
LINC00308,.
AP000705.8,.
AP000705.6,.
RNU4-45P,.
AP000705.7,.
MAPK6PS2,.
IGHV1OR21-1,.
AP000959.2,.
RN7SL609P,.
AP000949.1,.
AP001255.2,.
ZNF299P,.
MSANTD2P1,.
RNU2-55P,.
AP000459.4,.
EEF1A1P1,.
TUBAP,.
TPTE,.
AP000459.7,.
AP000474.1,.
AP000477.2,.
AP000477.3,.
AP000470.2,.
AP000469.2,.
AP000476.1,.
AL050302.1,.
POTED,.
AL050303.1,.
LIPI,.
RBM11,.
AP000235.2,.
AP000402.3,.
AP000146.2,.
AP001342.1,.
AP000235.3,.
HSPA13,.
AP000233.3,.
AP000233.4,.
RNA5SP489,.
SAMSN1,.
AF165138.7,.
NRIP1,.
AP001340.1,.
RPL13AP7,.
LINC00158,.
AP000221.1,.
MIR155HG,.
LINC00515,.
RNGTTP1,.
FDX1P2,.
AP000226.9,.
AP001442.2,.
RNU6-123P,.
AP001439.2,.
AP000230.1,.
RNU6-926P,.
AP001595.1,.
AP001596.6,.
USP25,.
AP001597.1,.
KB-1466C5.1,.
AP001601.2,.
MIR4759,.
GPX1P2,.
AP001604.3,.
AP001605.4,.
C21orf37,.
CXADR,.
BTG3,.
EIF4A1P1,.
RPL10P1,.
NCSTNP1,.
AP001607.1,.
LINC00113,.
AJ006995.3,.
LINC00314,.
AL035610.1,.
C21orf91,.
CHODL,.
TMPRSS15,.
AL035610.2,.
NCAM2,.
AF131217.1,.
LINC00161,.
RNU6-872P,.
HSPD1P7,.
THUMPD1P1,.
RPL23P2,.
RP1-100J12.1,.
AF129075.5,.
RPL12P9,.
AF124730.4,.
LINC00189,.
GAPDHP14,.
BACH1-IT1,.
AP000240.9,.
MRPL39,.
BACH1-AS1,.
BACH1-IT2,.
BACH1-IT3,.
RP11-313P22.1,.
GRIK1-AS1,.
AF096876.1,.
LINC00307,.
RPL8P2,.
JAM2,.
KRTAP13-6P,.
MIR4327,.
KRTAP13-5P,.
KRTAP19-9P,.
KRTAP19-10P,.
AP000567.27,.
KRTAP19-11P,.
AP001069.1,.
KRTAP21-4P,.
AP000244.11,.
KRTAP8-2P,.
KRTAP8-3P,.
KRTAP7-1,.
AP000244.1,.
UBE3AP2,.
AP000563.2,.
AP000251.3,.
FBXW11P1,.
ATP5J,.
GABPA,.
AP000253.1,.
AP000254.8,.
HMGN1P2,.
AP000255.6,.
TPT1P1,.
HUNK-AS1,.
LINC00159,.
AP000261.1,.
AP000265.1,.
MIS18A-AS1,.
AP000266.7,.
RN7SL109P,.
SNORA80,.
EXOSC3P1,.
RNA5SP490,.
LINC00846,.
OR7E23P,.
AP000275.64,.
PAXBP1-AS1,.
AP000281.1,.
AP000281.2,.
AP000282.2,.
AP000282.3,.
LINC00945,.
AP000289.6,.
AP000290.7,.
IL10RB-AS1,.
AP000295.10,.
USF1P1,.
AP000301.1,.
RPS5P3,.
AP000302.58,.
BTF3P6,.
LINC00649,.
RN7SL740P,.
APP,.
CYYR1,.
AP000569.9,.
AP000320.7,.
RPS5P2,.
ADAMTS1,.
LINC00310,.
ADAMTS5,.
AP000318.2,.
AP000318.1,.
AP000320.6,.
CMP21-97G8.1,.
CMP21-97G8.2,.
LINC00160,.
AP000330.8,.
N6AMT1,.
AF015262.2,.
RPL34P3,.
EZH2P1,.
AF015720.3,.
MIR802,.
RPS20P1,.
PPP1R2P2,.
AP000688.8,.
RPL23AP3,.
RIMKLBP1,.
AP000688.11,.
RNU6-992P,.
AP000688.14,.
AP000688.15,.
AP000688.29,.
MEMO1P1,.
CBR3-AS1,.
LTN1,.
RWDD2B,.
RPS9P1,.
RPL3P1,.
RN7SL73P,.
SRSF9P1,.
AP000692.10,.
AP000692.9,.
ATP5J2LP,.
AP000695.6,.
USP16,.
AP000695.4,.
PSMD4P1,.
AP000696.2,.
AP000697.6,.
HLCS-IT1,.
RNA5SP491,.
DPRXP5,.
AP000704.5,.
MRPL20P1,.
RNU6-696P,.
AP001429.1,.
TTC3-AS1,.
DSCR9,.
RN7SL678P,.
AP001432.14,.
AP001412.1,.
AP001437.1,.
KCNJ6-IT1,.
AP001427.1,.
DSCR4-IT1,.
AP001425.14,.
DSCR10,.
AP001434.2,.
SPATA20P1,.
AP001422.3,.
CCT8,.
SNRPGP13,.
LINC00114,.
AP001042.1,.
AF064858.6,.
AP001043.1,.
RPSAP64,.
AP001044.2,.
AF064858.7,.
AF064858.8,.
AF064858.11,.
AF064858.10,.
RPL23AP12,.
PCBP2P1,.
AF129408.17,.
TIMM9P2,.
BRWD1-IT1,.
METTL21AP1,.
BRWD1-IT2,.
BRWD1-AS1,.
RNF6P1,.
MYL6P2,.
MAP3K7CL,.
RPS26P4,.
AF121897.4,.
BACH1,.
AF064860.5,.
AF064860.7,.
MIR4760,.
DSCAM-AS1,.
AF064863.1,.
DSCAM-IT1,.
YRDCP3,.
LINC00323,.
GRIK1,.
SNORD74,.
GRIK1-AS2,.
CLDN17,.
CLDN8,.
KRTAP24-1,.
KRTAP25-1,.
KRTAP26-1,.
KRTAP27-1,.
KRTAP23-1,.
KRTAP13-2,.
KRTAP13-1,.
KRTAP13-3,.
KRTAP13-4,.
MIR3197,.
PLAC4,.
KRTAP15-1,.
KRTAP19-1,.
BACE2-IT1,.
AP001610.5,.
KRTAP19-2,.
AP001610.9,.
KRTAP19-3,.
AP006748.1,.
KRTAP19-4,.
LINC00111,.
KRTAP19-5,.
KRTAP19-6,.
LINC00479,.
KRTAP19-7,.
KRTAP22-2,.
KRTAP6-3,.
KRTAP6-2,.
KRTAP22-1,.
KRTAP6-1,.
KRTAP20-1,.
KRTAP20-4,.
KRTAP20-2,.
KRTAP20-3,.
KRTAP21-3,.
KRTAP21-2,.
KRTAP21-1,.
KRTAP8-1,.
KRTAP11-1,.
KRTAP19-8,.
LINC00112,.
AP001615.9,.
AP001619.3,.
AP001619.2,.
ZNF295-AS1,.
RNA5SP492,.
AP001623.1,.
RNU6-1149P,.
AP001625.4,.
AP001625.5,.
AP001625.6,.
AP001626.1,.
AP001626.2,.
TIAM1,.
SOD1,.
AP001627.1,.
AP001628.7,.
AP001628.6,.
ERVH48-1,.
MIR5692B,.
AP001630.5,.
MRPL51P2,.
SCAF4,.
AP001631.1,.
AP001631.9,.
LINC00322,.
AP001046.5,.
AP001046.6,.
LINC00319,.
LINC00313,.
AP001048.4,.
RPL31P1,.
H2BFS,.
TMEM97P1,.
AP001053.11,.
HUNK,.
MIS18A,.
MRAP,.
URB1,.
C21orf119,.
EVA1C,.
MYL6P1,.
RNU6-859P,.
TCP10L,.
RNU6-1150P,.
H2AFZP1,.
AP001055.6,.
AP001056.1,.
AP001057.1,.
AP001058.3,.
AP001059.5,.
AP001062.8,.
AP001062.7,.
AP001062.1,.
AP001062.9,.
AP001063.1,.
AP000275.65,.
AP001065.2,.
LRRC3-AS1,.
AP001065.7,.
MTND6P21,.
MTND5P1,.
C21orf59,.
AP001065.15,.
TSPEAR-AS1,.
AL773602.1,.
IMMTP1,.
KRTAP10-13P,.
AL773604.8,.
ITGB2-AS1,.
LL21NC02-1C16.1,.
SYNJ1,.
LL21NC02-1C16.2,.
LINC00163,.
AP001505.9,.
LINC00162,.
SSR4P1,.
LINC00334,.
BX322557.10,.
LINC00205,.
LINC00315,.
BX322557.13,.
LINC00316,.
MTCO1P3,.
BX322559.3,.
COL18A1-AS2,.
COL18A1-AS1,.
AL133493.2,.
PAXBP1,.
AL592528.1,.
AP001476.2,.
AP001476.4,.
AP001476.3,.
PSMA6P3,.
AP001471.1,.
FTCD-AS1,.
AP001468.58,.
AP001469.5,.
MCM3AP-AS1,.
C21orf49,.
C21orf62,.
OLIG2,.
AP001469.7,.
AP001469.9,.
RPL18AP2,.
DIP2A-IT1,.
