gene,strand,chr,gStart,gEnd
A1BG,-,chr19,58856544,58864865
A1BG-AS1,+,chr19,58859117,58866549
A1CF,-,chr10,52559169,52645435
A2M,-,chr12,9220260,9268825
A2M-AS1,+,chr12,9217773,9220651
A2ML1,+,chr12,8975068,9039597
A2ML1-AS1,-,chr12,8928815,8983543
A2ML1-AS2,-,chr12,8972412,8973309
A2MP1,-,chr12,9381129,9428413
A3GALT2,-,chr1,33772367,33786699
A4GALT,-,chr22,43088127,43117304
A4GNT,-,chr3,137842560,137851229
AAAS,-,chr12,53701240,53718648
AACS,+,chr12,125549925,125627873
AACSP1,-,chr5,178191862,178245436
AADAC,+,chr3,151531825,151546276
AADACL2,+,chr3,151451704,151479127
AADACL3,+,chr1,12776118,12788726
AADACL4,+,chr1,12704566,12727097
AADAT,-,chr4,170981373,171012850
AAED1,-,chr9,99401859,99417585
AAGAB,-,chr15,67493371,67547533
AAK1,-,chr2,69688532,69901481
AAMDC,+,chr11,77532155,77629478
AAMP,-,chr2,219128850,219134980
AANAT,+,chr17,74449433,74466199
AAR2,+,chr20,34824381,34858840
AARD,+,chr8,117950438,117956726
AARS,-,chr16,70286198,70323446
AARS2,-,chr6,44267391,44281063
AARSD1,-,chr17,41102543,41116515
AASDH,-,chr4,57204456,57253666
AASDHPPT,+,chr11,105946228,105969437
AASS,-,chr7,121715701,121784334
AATF,+,chr17,35306175,35414171
AATK,-,chr17,79091095,79139877
AATK-AS1,+,chr17,79139307,79156964
ABAT,+,chr16,8768422,8878432
ABCA1,-,chr9,107543283,107690518
ABCA10,-,chr17,67143355,67240987
ABCA11P,-,chr4,419224,467918
ABCA12,-,chr2,215796266,216003151
ABCA13,+,chr7,48211055,48687092
ABCA17P,+,chr16,2389151,2476700
ABCA2,-,chr9,139901686,139923367
ABCA3,-,chr16,2325882,2390747
ABCA4,-,chr1,94458393,94586688
ABCA5,-,chr17,67240452,67323385
ABCA6,-,chr17,67074843,67138029
ABCA7,+,chr19,1040102,1065571
ABCA8,-,chr17,66863433,66951533
ABCA9,-,chr17,66970629,67057205
ABCA9-AS1,+,chr17,67000855,67014464
ABCB1,-,chr7,87133175,87342611
ABCB10,-,chr1,229652329,229694442
ABCB10P1,-,chr15,22691016,22693200
ABCB10P3,+,chr15,28648014,28650179
ABCB10P4,-,chr15,28751771,28753954
ABCB11,-,chr2,169779448,169887832
ABCB4,-,chr7,87031013,87109751
ABCB5,+,chr7,20654830,20816658
ABCB6,-,chr2,220074490,220083712
ABCB7,-,chrX,74273115,74376567
ABCB8,+,chr7,150725510,150744869
ABCB9,-,chr12,123405498,123466196
ABCC1,+,chr16,16043434,16236931
ABCC10,+,chr6,43395104,43418168
ABCC11,-,chr16,48200821,48281479
ABCC12,-,chr16,48116884,48189929
ABCC13,+,chr21,15608527,15735075
ABCC2,+,chr10,101542489,101611949
ABCC3,+,chr17,48712138,48769613
ABCC4,-,chr13,95672083,95953687
ABCC5,-,chr3,183637722,183735803
ABCC5-AS1,+,chr3,183724126,183729207
ABCC6,-,chr16,16242785,16317379
ABCC6P1,+,chr16,18582484,18609650
ABCC6P2,-,chr16,14914649,14918563
ABCC8,-,chr11,17414432,17498449
ABCC9,-,chr12,21950335,22094336
ABCD1,+,chrX,152990323,153010216
ABCD1P2,+,chr10,38894549,38898740
ABCD1P3,-,chr16,32486372,32489571
ABCD1P4,+,chr22,16868420,16871613
ABCD1P5,+,chr2,92028627,92031828
ABCD2,-,chr12,39943835,40013553
ABCD3,+,chr1,94883933,94984222
ABCD4,-,chr14,74752126,74769759
ABCE1,+,chr4,146019084,146050331
ABCF1,+,chr6,30539153,30564956
ABCF2,-,chr7,150904923,150924316
ABCF2P1,+,chr3,88366306,88368172
ABCF2P2,+,chr7,71568166,71569194
ABCF3,+,chr3,183903811,183911800
ABCG1,+,chr21,43619799,43717354
ABCG2,-,chr4,89011416,89152474
ABCG4,+,chr11,119019722,119033360
ABCG5,-,chr2,44039611,44066004
ABCG8,+,chr2,44066103,44105605
ABHD1,+,chr2,27346682,27353680
ABHD10,+,chr3,111697857,111712210
ABHD11,-,chr7,73150424,73153197
ABHD12,-,chr20,25275379,25371619
ABHD12B,+,chr14,51338878,51371688
ABHD13,+,chr13,108870727,108886603
ABHD14A,+,chr3,52005442,52015212
ABHD14A-ACY1,+,chr3,52009066,52023199
ABHD14B,-,chr3,52002526,52017425
ABHD15,-,chr17,27887565,27894155
ABHD16A,-,chr6,31654726,31671221
ABHD16B,+,chr20,62492566,62494341
ABHD17A,-,chr19,1876809,1885546
ABHD17AP1,+,chr1,147618673,147621845
ABHD17AP2,+,chr1,146076838,146080009
ABHD17AP3,-,chr1,214778813,214782183
ABHD17AP4,-,chr22,21022124,21025272
ABHD17AP5,-,chr22,22469236,22472374
ABHD17AP6,+,chr17,20717933,20747570
ABHD17B,-,chr9,74477368,74525847
ABHD17C,+,chr15,80972025,81047962
ABHD2,+,chr15,89630690,89745591
ABHD3,-,chr18,19230858,19284766
ABHD4,+,chr14,23067146,23081265
ABHD5,+,chr3,43731605,43775863
ABHD6,+,chr3,58223233,58281420
ABHD8,-,chr19,17402940,17421045
ABI1,-,chr10,27035522,27150016
ABI2,+,chr2,204192942,204312446
ABI3,+,chr17,47287589,47300587
ABI3BP,-,chr3,100468000,100712359
ABL1,+,chr9,133589333,133763062
ABL2,-,chr1,179068462,179198819
ABLIM1,-,chr10,116190872,116444762
ABLIM2,-,chr4,7967039,8160559
ABLIM3,+,chr5,148521046,148640105
ABO,-,chr9,136125788,136150617
ABR,-,chr17,906758,1132315
ABRA,-,chr8,107771711,107782473
ABRACL,+,chr6,139349819,139364439
ABT1,+,chr6,26597180,26600278
ABT1P1,-,chr4,99943462,99944282
ABTB1,+,chr3,127391778,127399768
ABTB2,-,chr11,34172535,34379555
ACAA1,-,chr3,38144620,38178733
ACAA2,-,chr18,47309869,47340330
ACACA,-,chr17,35441923,35766909
ACACB,+,chr12,109554400,109706031
ACAD10,+,chr12,112123857,112194903
ACAD11,-,chr3,132276982,132379567
ACAD8,+,chr11,134123389,134135749
ACAD9,+,chr3,128598439,128634910
ACADL,-,chr2,211052663,211090215
ACADM,+,chr1,76190036,76253260
ACADS,+,chr12,121163538,121177811
ACADSB,+,chr10,124768495,124817827
ACADVL,+,chr17,7120444,7128592
ACAN,+,chr15,89346674,89418585
ACAP1,+,chr17,7239848,7254797
ACAP2,-,chr3,194995465,195163807
ACAP2-IT1,-,chr3,195001452,195003470
ACAP3,-,chr1,1227756,1244989
ACAT1,+,chr11,107992243,108018503
ACAT2,+,chr6,160181360,160200144
ACBD3,-,chr1,226332380,226374431
ACBD4,+,chr17,43209967,43221548
ACBD5,-,chr10,27484146,27531059
ACBD6,-,chr1,180244515,180472089
ACBD7,-,chr10,15119522,15130775
ACCS,+,chr11,44087475,44105772
ACCSL,+,chr11,44069531,44081527
ACD,-,chr16,67691415,67694713
ACE,+,chr17,61554422,61599205
ACE2,-,chrX,15579156,15620271
ACE3P,+,chr17,61584417,61597167
ACER1,-,chr19,6306153,6333640
ACER2,+,chr9,19408925,19452018
ACER3,+,chr11,76571911,76737841
ACHE,-,chr7,100487615,100494594
ACIN1,-,chr14,23527773,23564823
ACKR2,+,chr3,42846244,42929466
ACKR3,+,chr2,237476430,237491001
ACKR4,+,chr3,132316081,132337811
ACLY,-,chr17,40023161,40086795
ACMSD,+,chr2,135596117,135659604
ACN9,+,chr7,96745902,96811075
ACO1,+,chr9,32384618,32454767
ACO2,+,chr22,41865129,41924993
ACOT1,+,chr14,74003818,74010498
ACOT11,+,chr1,55007930,55104865
ACOT12,-,chr5,80625824,80689998
ACOT13,+,chr6,24667263,24705293
ACOT2,+,chr14,74034324,74042357
ACOT4,+,chr14,74058410,74063200
ACOT6,+,chr14,74077649,74086592
ACOT7,-,chr1,6324329,6454451
ACOT8,-,chr20,44470360,44486045
ACOT9,-,chrX,23720370,23784592
ACOX1,-,chr17,73937588,73975515
ACOX2,-,chr3,58490863,58523046
ACOX3,-,chr4,8368009,8442450
ACOXL,+,chr2,111490150,111875799
ACP1,+,chr2,264140,278283
ACP2,-,chr11,47260853,47270457
ACP5,-,chr19,11685475,11689823
ACP6,-,chr1,147101453,147142618
ACPL2,+,chr3,140947568,141013748
ACPP,+,chr3,132036211,132087142
ACPT,+,chr19,51293672,51298481
ACR,+,chr22,51176624,51183762
ACRBP,-,chr12,6747241,6756626
ACRC,+,chrX,70798261,70833433
ACRV1,-,chr11,125541417,125551018
ACSBG1,-,chr15,78459810,78538030
ACSBG2,+,chr19,6135258,6193112
ACSF2,+,chr17,48503519,48552206
ACSF3,+,chr16,89154783,89222254
ACSL1,-,chr4,185676749,185747972
ACSL3,+,chr2,223725652,223809357
ACSL4,-,chrX,108867473,108976632
ACSL5,+,chr10,114133776,114188138
ACSL6,-,chr5,131142683,131347936
ACSM1,-,chr16,20634559,20710212
ACSM2A,+,chr16,20462783,20498991
ACSM2B,-,chr16,20547548,20587749
ACSM3,+,chr16,20621565,20808903
ACSM4,+,chr12,7456880,7481320
ACSM5,+,chr16,20420856,20452658
ACSS1,-,chr20,24986868,25039616
ACSS2,+,chr20,33459949,33515769
ACSS3,+,chr12,81331594,81650533
ACTA1,-,chr1,229566992,229569845
ACTA2,-,chr10,90694831,90751147
ACTA2-AS1,+,chr10,90692400,90700368
ACTB,-,chr7,5566782,5603415
